titulo_do_texto,texto,descritor,comando,resposta_item,resposta,opcoes,ano,tipo,origem
Branca lembrança de uma infância,"Naquela época, o carreirinho que ia à igreja já estava branquinho de neve, como se tivesse chovido algodão sobre a mata ainda virgem. Os galhos dos pinheiros – até os mais fortes – quebravam devido ao peso da neve. Os barrancos ficavam todos cobertos por uma manta branca e suave, formando um verdadeiro escorregador. Fazíamos bonecos de neve com nariz de cenoura, braços de galhos secos e uma panela velha como chapéu. Foi a nossa maior diversão! Contrastando com a neve, estava o marrom carnado do pinhão no chão. Pinhão, tinha bastante! Por isso era pinhão no almoço, na janta... Como a comida era pouco diversificada, a gente dava graças quando tinha alguma coisa diferente. O pinhão dava um sabor a mais a nossas refeições! A gente sabia que o pinhão só dava no inverno, mas queria catar pinhão o ano todo. Ah, que saudades daquela época em que a gente fazia o sapecado! O pinhão quentinho e o chimarrão eram nossos tesouros, nossa tradição... [...]",D11 - Reconhecer os elementos que compõem uma narrativa e o conflito gerador.,O trecho abaixo que comprova que o narrador participa da história é:,c,“Fazíamos bonecos de neve com nariz de cenoura...”,"['“Naquela época, o carreirinho que ia à igreja...”', '“Os barrancos ficavam todos cobertos...”', '“Fazíamos bonecos de neve com nariz de cenoura...”', '“Contrastando com a neve, estava o marrom carnado...”']",9° ano,SPAECE,Simulado 01 SPAECE
O amigo-secreto,"A turma reuniu-se na sala enfeitada. Martinha carregava um pacote enorme, cheio de laços, Suzana e Antônio conversavam animados. Mariana pediu para Juju começar a brincadeira. Cada um devia explicar antes por que escolhera o presente para seu amigo-secreto. Quando Juju terminou de falar, um tênis, que mais parecia uma nave especial, foi parar nas mãos de Felipe. Este contou por que comprou o CD importado para o Luís. Que explicou por que escolheu a bermuda de surfista para o Bruno. — Bruno, a turma gritou. — Agora é você! Bruno pôs-se a falar: Bom, pessoal, é o seguinte: na primeira semana de dezembro, já tarde da noite, lá em casa, ouvimos um grito de filme de terror. Todo mundo saltou da cama: “O que foi?” Minha mãe apontou, soluçando: “A Ge-la-dei-ra! Ela que-brou!” [...] “Precisamos comprar uma nova imediatamente”. “E o presente do amigo-secreto”, minha irmã lembrou mais que depressa. “Bolem um presente criativo e que não custe nada”, falou meu pai. — Foi aí que eu tive a ideia – continuou Bruno, abrindo a mochila e tirando de lá um pequeno pacote. — Espero que meu amigo-secreto goste. Ele é o Rafa. — Aí, Rafa! Vai lá! – gritou a turma. Rafa começou a abrir o pacote. O silêncio era total. — Não acredito que você guardou essa foto, cara! Que idade a gente tinha? — Mostra! Mostra! E a foto embrulhada de Bruno e de Rafa, quando tinham seis anos, foi passando de mão em mão. O maior sucesso. — Puxa, Bruno. Só faltou uma coisa — Disse Rafa . — O quê? — Um abraço, cara. Gosto de você! Bom fim de ano!",D11 - Reconhecer os elementos que compõem uma narrativa e o conflito gerador.,O fato que desencadeou essa história foi,a,Bruno ter que conseguir um presente criativo e barato para o amigo-secreto.,"['Bruno ter que conseguir um presente criativo e barato para o amigo-secreto.', 'Felipe ganhar um presente que mais parecia uma nave especial.', 'Martinha carregar um pacote enorme, cheio de laços.', 'Rafa abraçar e desejar um bom fim de ano ao seu amigo Bruno.']",9° ano,SPAECE,Simulado 01 SPAECE
A abelha gulosa,"A abelha era muito gulosa, de tal forma que passava o dia inteiro a beber o néctar das flores. Sua obrigação, como membro ativo da colmeia, era levar para a comunidade de abelhas o néctar necessário para o sustento diário de todas. Mas ela esquecia-se de tudo, tal era a obsessão de comer. — Abelhinha, não é correto o que você faz, disse-lhe uma de suas companheiras. Além de não cumprir a sua obrigação na colmeia, está prejudicando a si própria. Não vê, por acaso, como está ficando gorda? A abelha fazia-se de surda aos conselhos desse tipo e continuava no seu come-come. Engordou tanto, que aconteceu uma tragédia. A abelhinha regressou à colmeia, ao anoitecer. Tentou passar pela porta, mas não conseguiu. Estava gordíssima! Suas companheiras tentaram ajudá-la, mas foi tudo inútil e a abelhinha glutona teve que ficar lá fora, sujeita às intempéries. Na manhã seguinte, suas companheiras encontraram-na congelada. Não tinha conseguido resistir ao intenso frio da noite",D11 - Reconhecer os elementos que compõem uma narrativa e o conflito gerador.,"No desfecho dessa narrativa, a abelha",a,acaba morrendo congelada.,"['acaba morrendo congelada.', 'consegue ficar curada da gula. ', 'continua sendo muito gulosa.\r', 'ouve o conselho das companheiras.\r']",9° ano,SPAECE,Simulado 01 SPAECE
A Cidade dos Resmungos,"Era uma vez um lugar chamado Cidade dos Resmungos, onde todos resmungavam, resmungavam, resmungavam. No verão, resmungavam que estava muito quente. No inverno, que estava muito frio. Quando chovia, as crianças choramingavam porque não podiam sair. Quando fazia sol, reclamavam que não tinham o que fazer. Os vizinhos queixavam-se uns dos outros, os pais queixavam-se dos filhos, os irmãos das irmãs. Todos tinham um problema, e todos reclamavam que alguém deveria fazer alguma coisa. Um dia chegou à cidade um mascate carregando um enorme cesto às costas. Ao perceber toda aquela inquietação e choradeira, pôs o cesto no chão e gritou: — Ó cidadãos deste belo lugar! Os campos estão abarrotados de trigo, os pomares carregados de frutas. As cordilheiras são cobertas de florestas espessas, e os vales banhados por rios profundos. Jamais vi um lugar abençoado por tantas conveniências e tamanha abundância. Por que tanta insatisfação? Aproximem-se, e eu lhes mostrarei o caminho para a felicidade. [...] ele puxou uma corda comprida do cesto e a esticou entre dois postes na praça da cidade. Então, segurando o cesto diante de si, gritou: — Povo desta cidade! Aqueles que estiverem insatisfeitos escrevam seus problemas num pedaço de papel e ponham dentro deste cesto. Trocarei seus problemas por felicidade! A multidão se aglomerou ao seu redor. Ninguém hesitou diante da chance de se livrar dos problemas. Todo homem, mulher e criança da vila rabiscou sua queixa num pedaço de papel e jogou no cesto. Eles observaram o mascate pegar cada problema e pendurá-lo na corda. [...] Então ele disse: — Agora cada um de vocês deve retirar desta linha mágica o menor problema que puder encontrar. Todos correram para examinar os problemas. Procuraram, manusearam os pedaços de papel e ponderaram, cada qual tentando escolher o menor problema. Depois de algum tempo a corda estava vazia. Eis que cada um segurava o mesmíssimo problema que havia colocado no cesto. Cada pessoa havia escolhido o seu próprio problema, julgando ser ele o menor da corda. Daí por diante, o povo daquela cidade deixou de resmungar o tempo todo. E sempre que alguém sentia o desejo de resmungar ou reclamar, pensava no mascate e na sua corda mágica.",D11 - Reconhecer os elementos que compõem uma narrativa e o conflito gerador.,O fato que deu início a essa narrativa foi,b,as pessoas reclamarem o tempo todo.,"['as pessoas escreverem no papel seus problemas e pôr no cesto.', 'as pessoas reclamarem o tempo todo.', 'o mascate resolver todos os problemas das pessoas.', 'o povo da cidade dos resmungos parar de reclamar.']",9° ano,SPAECE,Simulado 01 SPAECE
Acidente na escola,"Um menino de nove anos estava sentado na sua carteira. De repente, uma poça entre seus pés e a parte dianteira de sua calça molhada. Não sabia como isso tinha acontecido e achava que seu coração ia parar. Nunca tinha passado por nada semelhante. Quando descobrirem, os meninos nunca o deixarão em paz, e as meninas nunca mais vão falar com ele. Com o coração batendo forte, o menino abaixou a cabeça e rezou: — Querido Deus, isto é uma emergência! Eu necessito de ajuda, agora! Mais cinco minutos e serei um menino morto. Quando levantou os olhos, viu a professora chegando com um olhar que dizia que ele tinha sido descoberto. Enquanto a professora caminhava na sua direção, uma coleguinha, chamada Susie, passou na sua frente carregando um aquário cheio de água. Susie tropeçou na frente da professora e despejou, inexplicavelmente, toda a água no colo do menino. O menino fingiu ficar com raiva, mas, ao mesmo tempo, lá no fundo de seu coração, exclamou: — Obrigado, Senhor! De repente, em vez de ser motivo de ridículo e gozações, o menino virou centro da compaixão e das atenções de toda a turma. A professora levou-o apressadamente, para trocar de roupa e colocar a calça a secar. Todas as outras crianças, espontaneamente, se puseram a limpar o chão e a carteira do menino. Mas, o ridículo e as gozações caíram sobre a coitada Susie. Ela também tentou ajudar, mas as crianças a afastaram: — Olha o que você fez! Você é uma desajeitada! Finalmente, no fim das aulas, enquanto estavam esperando a chegada de seus pais, o menino viu Susie, aproximou-se dela, e cochichou no seu ouvido: — Você fez aquilo de propósito, não foi? Susie, também cochichando, e com um sorriso, confessou: — Eu também molhei minha calça uma vez",D11 - Reconhecer os elementos que compõem uma narrativa e o conflito gerador.,O clímax dessa narrativa acontece quando,d,Susie derrama a água do aquário no colo do menino,"['o menino finge estar com raiva por Susie derramar água nele.', 'o menino vira o centro das atenções da turma.', 'Susie confessa que também molhou a calça uma vez', 'Susie derrama a água do aquário no colo do menino']",9° ano,SPAECE,Simulado 01 SPAECE
Epitáfio,Devia ter amado mais Ter chorado mais Ter visto o sol nascer Devia ter arriscado mais [...] Ter feito o que eu queria fazer Queria ter aceitado As pessoas como elas são [...] O acaso vai me proteger Enquanto eu andar distraído [...] Devia ter complicado menos Trabalhado menos Ter visto o sol se pôr Devia ter me importado menos Com problemas pequenos Ter morrido de amor Queria ter aceitado A vida como ela é A cada um cabe alegrias E a tristeza que vier,D10 - Identificar o propósito comunicativo em diferentes gêneros.,"Nesse texto, há uma ideia de exagero nos versos:",c,“Ter morrido de amor”,"['“Devia ter amado mais” ', '“Ter visto o sol se pôr”', '“Ter morrido de amor” ', '“A cada um cabe alegrias”']",9° ano,SPAECE,Simulado 01 SPAECE
-,"A palavra “café” vem do árabe qahhwah e significa “vinho”. Foi cultivado pela primeira vez pelo povo muçulmano, sendo por isso conhecido também como vinho da Arábia. As sensações de vigor e ânimo que o fruto proporciona foram descobertas pelo pastor etíope Caldi, que, após perceber que suas cabras andavam agitadas, viu que elas se alimentavam de folhas e grãos de um arbusto específico. Os monges que viviam na região colheram os frutos e prepararam um chá. A partir daí, passaram a consumir frequentemente a bebida para ficarem mais acordados nas noites de vigília e oração. Seu cultivo tornou-se tão importante para o povo árabe, que era terminantemente proibido que seus grãos deixassem a região. Todo café negociado era previamente fervido para que não pudesse mais germinar. Apenas no século XVIII a planta ganhou a Europa, sendo cultivada na Holanda",D10 - Identificar o propósito comunicativo em diferentes gêneros.,Esse texto tem a finalidade de,d,informar sobre a origem do café.,"['expor as características do café. ', 'falar sobre o cultivo de café no mundo.', 'incentivar o consumo de café.', 'informar sobre a origem do café.']",9° ano,SPAECE,Simulado 01 SPAECE
Nova York proíbe venda de refrigerantes em copos grandes,"A prefeitura de Nova York proibiu [...] a venda de refrigerantes em copos com mais de 473 mililitros – equivalente a 16 onças, medida usada nos EUA – nas lanchonetes, restaurantes, estádios e salas de cinema, em uma tentativa de combater a obesidade. A Comissão de Saúde da prefeitura aprovou a proibição, que inclui todas as bebidas ricas em açúcar. Segundo o prefeito Michael Bloomberg, mais da metade dos adultos em Nova York (58%) é de obesos ou possui excesso de peso, e este problema também afeta 40% das crianças nas escolas públicas. O consumo de refrigerantes, geralmente mais baratos que a água mineral e cujos copos não são mais caros que os pequenos, é uma das causas identificadas do problema. [...] A iniciativa provocou críticas de moradores que a consideram uma intromissão exagerada do poder público em questões particulares. Representantes dos produtores de refrigerantes também se expressaram contrários. [...] “Ainda não é o fim”, afirmou em nota o grupo Nova-iorquinos pela Escolha das Bebidas, que é patrocinado pela indústria de refrigerantes. A associação reuniu mais de 250 mil assinaturas contra o projeto e considera mover um processo na justiça. “Continuaremos expressando nossa oposição a essa proibição e lutaremos pelo direito dos nova-iorquinos de tomar suas próprias decisões. E estaremos ao lado dos comerciantes que serão afetados por essas limitações arbitrárias”, dizia a nota, assinada por Eliot Hoff",D10 - Identificar o propósito comunicativo em diferentes gêneros.,Qual o objetivo desse texto?,c,Informar as pessoas.,"['Convencer o leitor.', 'Fazer uma propaganda.', 'Informar as pessoas.\r', 'Incentivar o consumismo.']",9° ano,SPAECE,Simulado 01 SPAECE
Patativa do Assaré,"Antônio Gonçalves da Silva, o Patativa do Assaré, nasceu na Serra de Santana, a 18 Km da cidade de Assaré, em 5 de março de 1909. Filho de Pedro Gonçalves da Silva e Maria Pereira da Silva, família pobre, perdeu o pai aos oito anos, passando a partir daí a trabalhar na roça para garantir o sustento da família. Logo que ingressou na escola, aos doze anos, passou a escrever poesia e produzir pequenos textos. [...] O nome “Patativa” surgiu devido à semelhança entre seu canto e o do pássaro Patativa, ave nordestina que possui um canto mavioso e singular, quando o jovem poeta tinha apenas vinte anos. Com um nome artístico, passou a viajar pela região cantando seus repentes e apresentando-se várias vezes na rádio Araripe. Patativa é considerado o gênio da literatura cearense [...].",D09 - Reconhecer gênero discursivo.,Esse texto é um exemplo de,a,biografia.,"['biografia.', 'conto.', 'notícia.\r', 'propaganda.']",9° ano,SPAECE,Simulado 01 SPAECE
Surfista é mordido no rosto por tubarão em Fernando de Noronha,"Um surfista foi mordido por um tubarão nesta quinta-feira (14), em Fernando de Noronha. Vinícius Cavalcanti, 31 anos, estava surfando na praia da Cacimba do Padre quando aconteceu o incidente. Ele foi levado de carro, pela esposa, ao Hospital São Lucas com ferimentos na face, no pescoço e na orelha. Ele chegou com sangramento intenso, mas com ""sinais vitais estáveis, lúcido e orientado"", de acordo com informações preliminares da unidade de saúde. Ainda segundo o hospital, ele está bem, estável, tranquilo e conversando. Vinícius é vendedor de açaí na Cacimba e aproveitou o final do expediente para pegar onda. Segundo relato da mulher do vendedor, Juliana Cavalcanti, o rapaz caiu em cima do tubarão e levou uma mordida. “Meu marido me contou que estava surfando, quando caiu e o tubarão o abocanhou. A mordida pegou no supercílio, orelha, no queixo e no pescoço. Sangrava muito"", conta.",D09 - Reconhecer gênero discursivo.,Esse texto pertence ao gênero,c,notícia.,"['conto.', 'lenda.', 'notícia.\r', 'propaganda.']",9° ano,SPAECE,Simulado 01 SPAECE
Canastra das velhinhas,"Duas velhinhas, bem velhinhas estão jogando sua canastra semanal. Uma delas olha para a outra e diz: — Por favor, não me leve a mal. Nós somos amigas há tanto tempo e agora eu não consigo me lembrar do seu nome, veja só a minha cabeça. Qual é o seu nome, querida? A outra olha fixamente para a amiga, por uns dois minutos, coça a testa e diz: — Você precisa dessa informação para quando?",D09 - Reconhecer gênero discursivo.,Esse texto é um exemplo de,d,piada.,"['charge', 'conto.', 'notícia.\r', 'piada.']",9° ano,SPAECE,Simulado 01 SPAECE
Ah… a praia!,"Minha fascinação por ela é uma imensidão [...]. E pensar que é formada na mais tranquila e paciente espera. Foram necessários milhões de anos para podermos desfrutar de algumas horas do dia; no meu caso, de um bom feriado. Largo meus afazeres e presto somente atenção nela. O vento que vem de lá traz-me uma felicidade que não encontro nesse lado de cá. Mesmo que seja por pouco tempo, faço tudo para que esse tempo seja necessário, não para que desfrute de tudo que ela ofereça, e sim para que eu sempre sinta vontade de visitá-la. Sua voz é tão linda que tem concha que teima a imitá-la. Repare como ela é completa. Sinto o quente da areia, o frio da maré que chega. Oferece-me comida. Nunca me canso de falar dos ensinamentos da natureza. Tudo que vale a pena deve ser cultivado na medida certa do tempo. O perfeito é criado sem muita pressa, tornando-se duradouro. Que assim seja meu amor por ela. Quente quando está perto, frio quando a saudade aperta. Alimentado por tudo que está dentro dela. E que surja no tempo certo, para que possamos desfrutar na medida certa por um tempo indefinido. Para que no final eu possa prestar somente atenção nela.",D09 - Reconhecer gênero discursivo.,Esse texto é um exemplo de,d,crônica.,"['artigo científico.', 'biografia.', 'carta.', 'crônica.']",9° ano,SPAECE,Simulado 01 SPAECE
Companhia de teatro apresenta peça gratuita para crianças no interior do Paraná,"Uma companhia de teatro está apresentando peças gratuitas para crianças, no interior do Para- ná, com a temática do meio ambiente. Conforme a organização, as peças são realizadas em Ortigueira, nos Campos Gerais do Paraná, e Marilândia do Sul, no norte, entre sexta-feira (19) e 24 de novembro. [...] O grupo performará o espetáculo “O Grande Perigo”, que narra a história de uma pequena tarta- ruga que volta ao mar em busca da mãe, enfrentando perigos da vida marinha, incluindo, lixos na água. As apresentações duram cerca de 20 minutos e são indicadas para o público de 3 a 11 anos. [...]",D07 - Diferenciar a informação principal das secundárias em um texto.,A informação principal desse texto é,a,a apresentação gratuita de uma peça de teatro.,"['a apresentação gratuita de uma peça de teatro.\r', 'a duração de uma peça de teatro. ', 'o público indicado para assistir à peça de teatro.', 'o título de uma peça de teatro.']",6° ano,SPAECE,Avaliação paraná
Zoológico traz arara azul da Espanha para formar casal com o paulista Teobaldo,"Guadalupe [...] deixou as Ilhas Canárias, na Espanha, prometida para o paulista Teo- baldo [...]. Ele é sociável, enquanto ela é desconfiada. Ele foi criado por uma equipe e ela, pelos pais biológicos. Para o casamento arranjado, ela deixou a família na sua terra natal e desembarcou no Brasil em outubro [...]. [...] ela agora está conhecendo melhor o pretendente [...]. Agora, resta saber se essa fase vai evoluir para uma história de amor. O possível romance é protagonizado por um casal de araras azuis que vive no Zoológico de São Paulo e tem como objetivo aumentar a espécie que integra a lista de animais em perigo de extinção [...].",D07 - Diferenciar a informação principal das secundárias em um texto.,A informação principal desse texto é,a,é a vinda de uma arara azul para o Brasil.,"['é a vinda de uma arara azul para o Brasil.', 'são as diferentes espécies de arara da Espanha.', 'é o trabalho de preservação do Zoológico de São Paulo.', 'são os animais em extinção encontrados nas Ilhas Canárias.']",6° ano,SPAECE,Avaliação paraná
Cubo mágico: filme sobre o brinquedo está sendo desenvolvido!,"[...] um filme sobre o cubo mágico, um dos brinquedos mais famosos do mundo, está sendo desenvolvido [...]. Detalhes da produção não foram divulgados e estão sendo mantidos em segredo! O filme [...] ainda não tem previsão de estreia. Vamos aguardar! Para quem não sabe, o cubo mágico foi criado em 1974 pelo arquiteto e escultor húngaro Erno Rubik e até hoje já foram vendidos mais de 450 milhões de cubos mágicos ao redor do mundo. EITA! [...]",D07 - Diferenciar a informação principal das secundárias em um texto.,A informação principal desse texto é,d,o desenvolvimento de um filme sobre o cubo mágico.,"['a nacionalidade do inventor do cubo mágico.', 'a quantidade de cubos mágicos vendidos pelo mundo.\r', 'o ano em que o cubo mágico foi fabricado.', 'o desenvolvimento de um filme sobre o cubo mágico.']",6° ano,SPAECE,Avaliação paraná
Aposentada divide a casa com 1.300 cachorros na China,"[...] Ela dedica todo o seu tempo, economias e todos os cômodos da sua casa a eles. No sudoeste
da China, Weng Junhong, 68, abriga mais de 1.300 cachorros de rua em sua residência, que recebe
novos hóspedes todos os dias.
Há 20 anos, Wen pegou um filhote de cachorro abandonado em uma rua da cidade [...]. Desde
então, não parou de pegar cães perdidos, protegendo-os dos acidentes de estrada [...].
“É importante se ocupar desses cachorros”, explica a enérgica aposentada. “A Terra não foi feita
apenas para o ser humano, também pertence aos animais”, defende. [...]
Wen encontra frequentemente novos inquilinos em frente à sua porta e recebe “pedidos de ajuda
todos os dias”.
Além dos seus 1.300 cachorros, Wen também aloja centenas de gatos, quatro cavalos, coelhos e
pássaros. [...]",D07 - Diferenciar a informação principal das secundárias em um texto.,"Nesse texto, o trecho que apresenta a informação principal é:",a,"“... Weng Junhong, 68, abriga mais de 1.300 cachorros de rua em sua residência,...”.","['“... Weng Junhong, 68, abriga mais de 1.300 cachorros de rua em sua residência,...”. ', '“Há 20 anos, Wen pegou um filhote de cachorro abandonado em uma rua da cidade...”.', '“Wen encontra frequentemente novos inquilinos em frente à sua porta...”', '“... Wen também aloja centenas de gatos, quatro cavalos, coelhos e pássaros.”.']",6° ano,SPAECE,Avaliação paraná
Colheita,"O agricultor Gabriel Rieg, de Anitápolis, em Santa Catarina, colheu nesta sexta-feira (11) uma abóbora de 1,2 metro. O legume foi colhido na propriedade, onde ele mora com a família. Ele faz parte de uma associação de agricultores que abrem suas propriedades para turistas. Toda a alimentação dos hóspedes é composta por produtos naturais, cultivados com adubo orgânico. Neste final de semana, esse legumezinho deve ir para a mesa dos hóspedes.",D07 - Diferenciar a informação principal das secundárias em um texto.,Qual é a informação principal desse texto?,a,"“O agricultor Gabriel Rieg [...], em Santa Catarina, colheu nesta sexta-feira (11) uma abóbora de 1,2 metro.”.","['“O agricultor Gabriel Rieg [...], em Santa Catarina, colheu nesta sexta-feira (11) uma abóbora de 1,2 metro.”. ', '“O legume foi colhido na propriedade, onde ele mora com a família.”.', ' “Ele faz parte de uma associação de agricultores que abrem suas propriedades para turistas.”. ', '“Toda a alimentação dos hóspedes é composta por produtos naturais...”.']",6° ano,SPAECE,Avaliação paraná
"Entusiasmos no primeiro dia de aulas na Orquestra Cidadã – Meninos
do Ipojuca
","Esta terça-feira (16) foi o primeiro dia de aula na sede Orquestra Criança Cidadã –Meninos do Ipojuca, no distrito de Camela. A garotada compareceu com muita expectativa e entusiasmo à nova rotina diária. A programação conta com cursos de teoria musical e de instrumentos de cordas, reforço escolar, aulas de informática, além de atendimento psicológico e pedagógico e três refeições diárias [...]. O núcleo funcionará nos horários da manhã e da tarde de segunda a sexta-feira e aos sábados com o ensaio geral. O prédio [...] conta com 15 salas de aulas, miniauditório, telecentro, sala de acompanhamento pedagógico, sala para atendimento psicossocial, banheiros e refeitório. O coordenador pedagógico e maestro da Orquestra em Camela, Márcio Pereira, acredita que os alunos terão facilidade no aprendizado. “Estou muito feliz, além de ensinar a garotada, estou passando por um aprendizado, tenho a certeza que daqui sairão excelentes músicos, como o que acontece com os ‘Meninos do Coque’”, ressaltou Pereira. Ao final do ano, durante o ciclo natalino, a Orquestra Cidadã do Ipojuca pretende realizar um pequeno concerto na localidade.",D07 - Diferenciar a informação principal das secundárias em um texto.,A informação principal desse texto está no trecho,a,“Esta terça-feira (16) foi o primeiro dia de aula na sede Orquestra Criança Cidadã...”,"['“Esta terça-feira (16) foi o primeiro dia de aula na sede Orquestra Criança Cidadã...”', '“O núcleo funcionará nos horários da manhã e da tarde de segunda a sexta-feira...”. ', '“... Márcio Pereira, acredita que os alunos terão facilidade no aprendizado.”.', '“... a Orquestra Cidadã do Ipojuca pretende realizar um pequeno concerto....”. ']",7° ano,SPAECE,Avaliação paraná
"A ideia é repassar para as mães assistidas pelo programa como cultivar uma horta saudável em
pequenos espaços","Parceria entre o programa Mãe Coruja do Ipojuca e Secretaria de Agricultura desenvolve, quinzenalmente, a ação do Horta no Quintal. A programação oferecida, desde o final do ano passado, tem o objetivo de estimular a produção de hortaliças para o consumo da família. O ninho Mãe Coruja do Ipojuca-sede recebeu, na tarde desta quinta-feira (10), mães e futuras mamães do Programa para entender o passo a passo do cultivo de hortaliças em casa. A didática foi repassada pelo técnico em Agropecuária da Secretaria de Agricultura, Antenor Gomes, que destacou o processo como fácil, prático e gratificante. “Basta usar o que temos ao nosso redor de material reciclável, como garrafa pet, baldes e caqueiras velhas. Materiais que causam danos ao meio ambiente se tornam aliados nessa atividade”, declarou Gomes. [...]",D07 - Diferenciar a informação principal das secundárias em um texto.,A informação principal do texto está em:,a,“Aprogramação oferecida [...] tem o objetivo de estimular a produção de hortaliças para o consumo da família.”.,"['“Aprogramação oferecida [...] tem o objetivo de estimular a produção de hortaliças para o consumo da família.”. ', '“Adidática foi repassada pelo técnico em Agropecuária da Secretaria deAgricultura,Antenor Gomes,...”. ', '“‘Basta usar o que temos ao nosso redor de material reciclável,...’”.', '“‘Materiais que causam danos ao meio ambiente se tornam aliados...’”.']",7° ano,SPAECE,Avaliação paraná
Praias onde vale a pena curtir o verão,"Está chegando o momento mais aguardado do ano. É quando os estudos dão uma trégua, o trabalho fica para depois e as únicas coisas importantes para fazer são curtir o sol, praticar esportes e aproveitar a paisagem. Para onde ir? Os 9.198 quilômetros do litoral brasileiro abrigam lugares paradisíacos, onde o banho de mar e a areia branquinha são uma tentação para quem passou 11 meses do ano vendo o mar a distância. Mas é preciso ser realista. Há pedaços da costa perdidos para as férias. “Em geral, a condição do litoral brasileiro é ruim para os banhos de mar”, confirma Luiz Roberto Tommasi, um dos maiores especialistas em poluição marinha do país, que há anos avalia as condições das praias. Diante da imensidão azul, pode parecer que o quadro não é assim tão grave. Afinal, o mar deveria diluir a sujeira toda deixada pelos turistas concentrados nesta época do ano. Mas o excesso de esgoto não se manifesta apenas pelo cheiro desagradável, a cor escura da água e o lixo generalizado. O esgoto mata o plâncton que produz o oxigênio e carrega bactérias nocivas e materiais que não são degradados. Entra na cadeia alimentar marinha e contamina os peixes. [...] A poluição das praias não é causada apenas pelo esgoto e a sujeira deixada pelos banhistas mal-educados. O petróleo que vaza dos navios, por exemplo, causa danos ecológicos que perduram durante anos. Mas é um problema localizado. A poluição mais grave do litoral brasileiro é provocada pelo saneamento deficiente. Apenas 4,8% da população das cidades costeiras é atendida pela rede de esgoto. As consequências na qualidade da água do mar são percebidas por meio de exames do nível de coliformes fecais. As medições periódicas indicam se a praia está contaminada por esgoto [...]. Muitos jornais costumam dar os resultados desses exames, principalmente no verão. Mas os interessados também podem acompanhar a situação de sua praia favorita pela internet [...].",D07 - Diferenciar a informação principal das secundárias em um texto.,Qual trecho apresenta a informação principal do texto?,d,"“‘Em geral, a condição do litoral brasileiro é ruim’...”.","['“Está chegando o momento mais aguardado do ano.”.', '“É quando os estudos dão uma trégua, o trabalho fica para depois...”. ', '“Os 9.198 quilômetros do litoral brasileiro abrigam lugares paradisíacos,...”.', '“‘Em geral, a condição do litoral brasileiro é ruim’...”.']",7° ano,SPAECE,Avaliação paraná
Etapa Lindeiros dos Jogos de Aventura e Natureza inicia nesta sexta-feira,"Começa nesta sexta-feira (26) a Etapa Lindeiros dos Jogos de Aventura e Natureza do Paraná (Jans). A competição será disputada em sete municípios com 10 modalidades em disputa até domingo (28). Marechal Cândido Rondon, Pato Bragado, Entre Rios do Oeste, Guaíra, Mercedes, 5 Terra Roxa e Missal serão as sedes do evento, recebendo competições de vôlei de praia, [...] canoagem de velocidade, pesca, futevôlei, skate, [...] e o futebol das estrelas. Para o diretor de Inovação da Superintendência do Esporte, Tiago Campos, o retorno dos jogos representa mais do que a volta das competições esportivas. “Teremos muitas atrações como o campeonato de pesca e a canoagem de velocidade em Entre Rios do Oeste. 10 Vamos fomentar o turismo dos municípios com modalidades de terra, água e ar, mostrando as características dos Jogos de Aventura e Natureza”, disse. [...] JANS – A primeira edição dos Jans aconteceu em 2019 e se destacou por ser um projeto inovador que uniu a prática esportiva, o turismo e a natureza em um evento itinerante, que beneficiou a população paranaense esportivamente e economicamente. Os Jogos de 15 Aventura e Natureza são realizados pelo Governo do Paraná por meio da Superintendência Geral do Esporte, com o apoio dos municípios-sede.",D07 - Diferenciar a informação principal das secundárias em um texto.,A informação principal desse texto está no trecho:,a,“Começa nesta sexta-feira (26) a Etapa Lindeiros dos Jogos de Aventura e Natureza do Paraná...”.,"['“Começa nesta sexta-feira (26) a Etapa Lindeiros dos Jogos de Aventura e Natureza do Paraná...”.', 'Marechal Cândido Rondon, Pato Bragado, Entre Rios do Oeste, Guaíra, Mercedes, Terra Roxa e Missal serão as sedes do evento...”.', '“‘Teremos muitas atrações como o campeonato de pesca e a canoagem de velocidade em Entre Rios do Oeste.’”. ', '“A primeira edição dos Jans aconteceu em 2019 e se destacou por ser um projeto inovador que uniu a prática esportiva, o turismo e a natureza...”. ']",7° ano,SPAECE,Avaliação paraná
